cp,artist,song,section,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"1,5,6,4",taylor swift,i knew you were trouble,chorus,6FB3v4YcR57y4tXFcdxI1E,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4
"1,5,6,4",taylor swift,i knew you were trouble,verse,6FB3v4YcR57y4tXFcdxI1E,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,219720,4
"1,5,6,4",the lonely island,jack sparrow,bridge,3qOMYMHbtqNFhfRjXUBzow,0.722,0.736,8,-5.228,1,0.245,0.0216,4.98e-06,0.0585,0.436,96.943,187747,4
"1,5,6,4",the lonely island,jack sparrow,chorus,3qOMYMHbtqNFhfRjXUBzow,0.722,0.736,8,-5.228,1,0.245,0.0216,4.98e-06,0.0585,0.436,96.943,187747,4
"1,5,6,4",tim mcgraw,it's your love,verse,,,,,,,,,,,,,,
"1,5,6,4",tim mcgraw,where the green grass grows,verse,0nDjzA4kns1QOWPXuOn6Xw,0.479,0.698,7,-7.914,1,0.0277,0.198,0.0,0.126,0.673,159.699,201600,4
"1,5,6,4",train,hey soul sister,verse,4HlFJV71xXKIGcU3kRyttv,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,216773,4
"1,5,6,4",avicii - ezon remix ,all you need is love,chorus,,,,,,,,,,,,,,
"1,5,6,4",avril lavigne,complicated,chorus,5xEM5hIgJ1jjgcEBfpkt2F,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507,4
"1,5,6,4",green day,21 guns,intro,64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,321093,4
"1,5,6,4",green day,21 guns,verse,64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,321093,4
"1,5,6,4",green day,boulevard of broken dreams,chorus,5GorCbAP4aL0EJ16frG2hd,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,262333,4
"1,5,6,4",green day,holiday,chorus,0MsrWnxQZxPAcov7c74sSo,0.29,0.827,8,-3.451,1,0.0362,0.000659,2.55e-06,0.301,0.45,167.086,493400,4
"1,5,6,4",green day,holiday,verse,0MsrWnxQZxPAcov7c74sSo,0.29,0.827,8,-3.451,1,0.0362,0.000659,2.55e-06,0.301,0.45,167.086,493400,4
"1,5,6,4",green day,when i come around,chorus,1Dr1fXbc2IxaK1Mu8P8Khz,0.531,0.909,11,-4.236,1,0.034,0.0175,0.0,0.231,0.814,97.546,178000,4
"1,5,6,4",linkin park,numb,chorus,2nLtzopw4rPReszdYBJU6h,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,4
"1,5,6,4",michel telo,ai se eu te pego,chorus,46aIq2GKW7Vr6i4g2Vvycd,0.65,0.947,11,-5.326,1,0.0717,0.222,0.0,0.979,0.694,96.035,170493,4
"1,5,6,4",mike candys,2012 'if the world would end',intro,4a2Esph5YpP8TRQ1JLGK72,0.738,0.846,9,-5.416,1,0.103,0.115,0.0,0.0946,0.398,127.975,166963,4
"1,5,6,4",mike candys,2012 'if the world would end',pre-chorus and chorus,4a2Esph5YpP8TRQ1JLGK72,0.738,0.846,9,-5.416,1,0.103,0.115,0.0,0.0946,0.398,127.975,166963,4
"1,5,6,4",red hot chili peppers,snow -hey oh-,chorus,,,,,,,,,,,,,,
"1,5,6,4",skyrim ost,the bannered mare,intro,,,,,,,,,,,,,,
"1,5,6,4",sum 41,confusion and frustration in modern times,chorus,4ZYxBJBmOG2n3dsV2iWrNF,0.427,0.978,11,-3.544,1,0.104,0.000938,3.48e-05,0.309,0.348,117.159,226147,4
"1,5,6,4",sum 41,confusion and frustration in modern times,intro,4ZYxBJBmOG2n3dsV2iWrNF,0.427,0.978,11,-3.544,1,0.104,0.000938,3.48e-05,0.309,0.348,117.159,226147,4
